Video;Intra-Frames;Intra-Bitrate;Intra-PSNR;B-Frames;B-Bitrate;B-PSNR;Total-Time;Frames;Bitrate;PSNR
PartyScene;128;18127.8625;33.7762;0;-nan(ind);-nan(ind);12991.210;;18127.8625;33.7762
PartyScene;16;20408.6500;34.4416;112;763.3500;32.4714;18907.011;;3219.0125;32.6740
PartyScene;8;20528.7000;34.4308;120;1125.2867;32.2744;20387.231;;2338.0000;32.3820
PartyScene;4;20699.3000;34.4126;124;1301.2097;32.1534;21861.328;;1907.4000;32.2088
PartyScene;2;21297.4000;34.3116;126;1393.9302;32.0708;23010.722;;1704.9219;32.0983
ParkRun;128;45955.1375;33.5473;0;-nan(ind);-nan(ind);21355.078;;45955.1375;33.5473
ParkRun;16;48079.9750;34.2561;112;2978.0643;30.5161;30139.698;;8615.8031;30.8414
ParkRun;8;45166.6500;34.4947;120;4797.9200;30.5381;33097.911;;7320.9656;30.7035
ParkRun;4;38280.9000;35.0683;124;5539.1581;30.5634;36136.299;;6562.3375;30.6519
ParkRun;2;23355.0000;36.5914;126;5930.6190;30.5681;36871.875;;6202.8750;30.6193
Kimono1;128;6128.7795;40.3909;0;-nan(ind);-nan(ind);36930.206;;6128.7795;40.3909
Kimono1;16;6740.0760;40.7172;112;717.3703;38.2425;71095.192;;1470.2085;38.4849
Kimono1;8;6736.9680;40.7270;120;992.8624;38.2812;74420.875;;1351.8690;38.3997
Kimono1;4;6708.6720;40.7377;124;1118.8661;38.2939;83394.265;;1293.5475;38.3527
Kimono1;2;6749.3760;40.7486;126;1178.4168;38.2984;86651.691;;1265.4630;38.3278
